loc_id,ship-state,ship-city,ship-postal-code
12060,MAHARASHTRA,NASHIK. GST NO. 27ALXPD3261A1Z9,422010
12061,UTTAR PRADESH,BANSGAON,273403
12062,TAMIL NADU,VELLORE,600012
12063,MADHYA PRADESH,MANDIDEEP,464993
12064,ANDHRA PRADESH,NANDIKOTKUR,518401
12065,PUNJAB,DASUYA,144305
12066,WEST BENGAL,BORAI,712306
12067,UTTAR PRADESH,RATH,210431
12068,HIMACHAL PRADESH,BALOH,175052
12069,BIHAR,MUZAFFARPUR,843146
12070,KERALA,PERAMANGALAM,680545
12071,ODISHA,KORAPUT,764043
12072,TAMIL NADU,"THUNDALAM, CHENNAI",600077
12073,TAMIL NADU,PENNAGARAM,636810
12074,UTTAR PRADESH,DEORIA,274201
12075,UTTAR PRADESH,TUNDLA KHAM,283103
12076,JHARKHAND,JHARIA,828110
12077,KERALA,KASARAGOD,671321
12078,HARYANA,INDUSTRIAL ESTATE BARWALA,134118
12079,MAHARASHTRA,MUMBAI 400098,400098
12080,ANDHRA PRADESH,SRIKAKULAM,532148
12081,ANDHRA PRADESH,TANGUTUR,523274
12082,UTTAR PRADESH,"DELHI, NCR",201014
12083,MAHARASHTRA,"CBD BELAPUR , NAVI MUMBAI",400614
12084,ODISHA,JAGATSINGHPUR,754114
12085,WEST BENGAL,PURULIYA,723121
12086,WEST BENGAL,"ULUBERIA, HOWRAH",711315
12087,KERALA,KOLAZHY,680010
12088,BIHAR,SIWAN,841239
12089,TAMIL NADU,MADURAI NORTH,625107
12090,MAHARASHTRA,"BADLAPUR, MUMBAI",421503
12091,MAHARASHTRA,"MUNDHAWA, PUNE",411036
12092,ANDHRA PRADESH,MARTURU,523301
12093,DELHI,SOUTH DELHI,110044
12094,TAMIL NADU,TIRUPATTUR,635601
12095,MAHARASHTRA,AURANGABAD,431134
12096,KARNATAKA,DHARWAD,580031
12097,GOA,SANCOALE,403726
12098,GOA,NORTH GOA,403005
12099,ANDHRA PRADESH,IRALA,517124
12100,KERALA,MUKKAM,673602
12101,MADHYA PRADESH,ALIRAJPUR,457887
12102,KARNATAKA,MADIKERI,571235
12103,ANDHRA PRADESH,PENUGONDA,534320
12104,ANDHRA PRADESH,HYDERABAD,500084
12105,UTTAR PRADESH,SHAKTI NAGAR NTPC TOWNSHIP,231222
12106,MAHARASHTRA,MANGALWEDHA,413305
12107,MAHARASHTRA,BANDA,416514
12108,WEST BENGAL,CHITTARANJAN,713365
12109,ANDHRA PRADESH,KRISHNA DISTRICT,521286
12110,DADRA AND NAGAR,PARK CITY,396230
12111,ANDHRA PRADESH,ELURU -2,534002
12112,KERALA,"CLAPPANA, KOLLAM",690525
12113,ANDHRA PRADESH,UNGUTURU,521260
12114,JAMMU & KASHMIR,DODA,182202
12115,RAJASTHAN,"BEYOND 18TH SECTOR,C.H.B.JODHPUR",342001
12116,TAMIL NADU,SIVAGANGAI,630552
12117,KERALA,ERNAKULAM,682033
12118,ANDHRA PRADESH,"KANURU, VIJAYAWADA",520007
12119,MAHARASHTRA,HAVELI,412207
12120,TAMIL NADU,"SRIPERUMBUDUR,CHENNAI CITY",602105
12121,MAHARASHTRA,"BHOSARI,PUNE",411039
12122,MAHARASHTRA,KURLA EAST MUMBAI,400024
12123,ANDHRA PRADESH,HYDERABAD,500072
12124,KERALA,"ALUVA, ERNAKULAM DIST",683578
12125,MEGHALAYA,SOHRA,793111
12126,GOA,PONDA,403404
12127,KERALA,PADUVILAYI,670612
12128,JHARKHAND,RANCHI,834011
12129,GUJARAT,MAHESANA,382815
12130,TELANGANA,AMBERPWT HYDERABAD,500013
12131,KERALA,KATTUR,680703
12132,WEST BENGAL,"LILUAH, HOWRAH",711204
12133,KERALA,KOZHENCHERY,689641
12134,KARNATAKA,CHITRADURGA,577598
